text,pinyin
猛然,meng3 ran2
猛虎,meng3 hu3
猜,cai1
猜想,cai1 xiang3
猜測,cai1 ce4
猜疑,cai1 yi2
猝,cu4
猝不及防,cu4 bu4 ji2 fang2
猝死,cu4 si3
猞,she1
猢,hu2
猣,zong1
猥,wei3
猥瑣,wei3 suo3
猥褻,wei3 xie4
猨,yuan2
猩,xing1
猩猩,xing1 xing5
猭,yuan2
猱,nao2
猲,he4
猳,jia1
猴,hou2
猴子,hou2 zi5
猵,pian4
猶,you2
猶太,you2 tai4
猶太人,you2 tai4 ren2
猶如,you2 ru2
猶豫,you2 yu4
猷,you2
猸,mei2
猹,cha2
猺,yao2
猻,sun1
猾,hua2
猿,yuan2
獀,sou1
獁,ma3
獃,dai1
獄,yu4
獅,shi1
獅子,shi1 zi5
獅子座,shi1 zi5 zuo4
獉,zhen1
獋,hao2
獍,jing4
獎,jiang3
獎勵,jiang3 li4
獎品,jiang3 pin3
獎學金,jiang3 xue2 jin1
獎懲,jiang3 cheng2
獎杯,jiang3 bei1
獎牌,jiang3 pai2
獎金,jiang3 jin1
獎項,jiang3 xiang4
獏,mo4
獐,zhang1
獒,ao2
獕,cui1
獗,jue2
獘,bi4
獙,bi4
獚,huang2
獝,xu4
獞,tong2
獠,liao2
獢,xiao1
獧,juan4
獨,du2
獨一無二,du2 yi1 wu2 er4
獨佔,du2 zhan4
獨具,du2 ju4
獨到,du2 dao4
獨創,du2 chuang4
獨奏,du2 zou4
獨孤,du2 gu1
獨家,du2 jia1
獨有,du2 you3
獨樹一幟,du2 shu4 yi1 zhi4
獨特,du2 te4
獨生子女,du2 sheng1 zi3 nü3
獨當一面,du2 dang1 yi1 mian4
獨白,du2 bai2
獨立,du2 li4
獨立顯卡,du2 li4 xian3 ka3
獨自,du2 zi4
獨處,du2 chu3
獨行,du2 xing2
獨行俠,du2 xing2 xia2
獨裁,du2 cai2
獨角獸,du2 jiao3 shou4
獨資,du2 zi1
獨顯,du2 xian3
獪,kuai4
獫,xian3
獬,xie4
獮,xian3
獯,xun1
獰,ning2
獱,bian1
獲,huo4
獲准,huo4 zhun3
獲利,huo4 li4
獲勝,huo4 sheng4
獲取,huo4 qu3
獲得,huo4 de2
獲得者,huo4 de2 zhe3
獲悉,huo4 xi1
獲批,huo4 pi1
獲獎,huo4 jiang3
獲益,huo4 yi4
獲知,huo4 zhi1
獲贈,huo4 zeng4
獳,nou4
獴,meng3
獵,lie4
獵人,lie4 ren2
獵奇,lie4 qi2
獵殺,lie4 sha1
獵物,lie4 wu4
獵頭,lie4 tou2
獵鷹,lie4 ying1
獷,guang3
獸,shou4
獸醫,shou4 yi1
獺,ta3
獻,xian4
獻上,xian4 shang4
獻出,xian4 chu1
獻祭,xian4 ji4
獻血,xian4 xue4
獻身,xian4 shen1
獼,mi2
獾,huan1
玀,luo2
玁,xian3
玂,qi2
玃,jue2
玄,xuan2
玄學,xuan2 xue2
玄幻,xuan2 huan4
玄機,xuan2 ji1
玄武,xuan2 wu3
玅,miao4
玆,zi1
率,lü4
率先,shuai4 xian1
率領,shuai4 ling3
玈,lu2
玉,yu4
玉器,yu4 qi4
玉女,yu4 nü3
玉林,yu4 lin2
玉泉,yu4 quan2
玉溪,yu4 xi1
玉石,yu4 shi2
玉米,yu4 mi3
玉蘭,yu4 lan2
玉龍,yu4 long2
玊,su4
王,wang2
王位,wang2 wei4
王八,wang2 ba5
王八蛋,wang2 ba1 dan4
王力宏,wang2 li4 hong2
王后,wang2 hou4
王國,wang2 guo2
王妃,wang2 fei1
王子,wang2 zi3
王安石,wang2 an1 shi2
王室,wang2 shi4
王家,wang2 jia1
王家衛,wang2 jia1 wei4
王小波,wang2 xiao3 bo1
王府,wang2 fu3
王府井,wang2 fu3 jing3
王心凌,wang2 xin1 ling2
王朔,wang2 shuo4
王朝,wang2 chao2
王治郅,wang2 zhi4 zhi4
王爺,wang2 ye5
王牌,wang2 pai2
王維,wang2 wei2
王者,wang2 zhe3
王莽,wang2 mang3
王菲,wang2 fei1
王道,wang2 dao4
王陽明,wang2 yang2 ming2
玍,ga3
玎,ding1
玒,hong2
玓,di4
玔,chuan4
玕,gan1
玖,jiu3
玗,yu2
玘,qi3
玞,fu1
玟,min2
玠,jie4
玡,ya2
玢,fen1
玤,bang4
玥,yue4
玦,jue2
玨,jue2
玩,wan2
玩偶,wan2 ou3
玩兒,wan2 r5
玩具,wan2 ju4
玩完,wan2 wan2
玩家,wan2 jia1
玩弄,wan2 nong4
玩意,wan2 yi4
玩意兒,wan2 yi4 r5
玩樂,wan2 le4
玩法,wan2 fa3
玩笑,wan2 xiao4
玩耍,wan2 shua3
玩轉,wan2 zhuan4
玫,mei2
玫瑰,mei2 gui1
玫瑰花,mei2 gui1 hua1
玭,pin2
玲,ling2
玲玲,ling2 ling2
玲瓏,ling2 long2
玳,dai4
玶,ping2
玷,dian4
玷污,dian4 wu1
玹,xuan2
玻,bo1
玻璃,bo1 li5
玻璃鋼,bo1 li5 gang1
玼,ci3
玿,shao2
珀,po4
珂,ke1
珃,ran3
珅,shen1
珇,zu3
珈,jia1
珉,min2
珊,shan1
珊瑚,shan1 hu2
珋,liu3
珌,bi4
珍,zhen1
珍品,zhen1 pin3
珍寶,zhen1 bao3
珍惜,zhen1 xi1
珍愛,zhen1 ai4
珍珠,zhen1 zhu1
珍稀,zhen1 xi1
珍藏,zhen1 cang2
珍貴,zhen1 gui4
珎,zhen1
珒,jin1
珓,jiao4
珔,jian4
珖,guang1
珙,gong3
珚,yan1
珛,xiu4
珝,xu3
珞,luo4
珠,zhu1
珠三角,zhu1 san1 jiao3
珠子,zhu1 zi5
珠寶,zhu1 bao3
珠江,zhu1 jiang1
珠海,zhu1 hai3
珠海市,zhu1 hai3 shi4
珡,qin2
珣,xun2
珥,er3
珦,xiang4
珧,yao2
珩,heng2
珪,gui1
班,ban1
班上,ban1 shang4
班主任,ban1 zhu3 ren4
班子,ban1 zi5
班底,ban1 di3
班次,ban1 ci4
班級,ban1 ji2
班組,ban1 zu3
班車,ban1 che1
班長,ban1 zhang3
珮,pei4
珳,wen2
珵,cheng2
珶,di4
珷,wu3
珹,cheng2
珺,jun4
珻,mei2
珽,ting3
現,xian4
現今,xian4 jin1
現代,xian4 dai4
現代人,xian4 dai4 ren2
現代化,xian4 dai4 hua4
現任,xian4 ren4
現在,xian4 zai4
現場,xian4 chang3
現場直播,xian4 chang3 zhi2 bo1
現如今,xian4 ru2 jin1
現存,xian4 cun2
現實,xian4 shi2
現實主義,xian4 shi2 zhu3 yi4
現實情況,xian4 shi2 qing2 kuang4
現役,xian4 yi4
現成,xian4 cheng2
現房,xian4 fang2
現時,xian4 shi2
現有,xian4 you3
現狀,xian4 zhuang4
現行,xian4 xing2
現象,xian4 xiang4
現貨,xian4 huo4
現身,xian4 shen1
現金,xian4 jin1
現金流,xian4 jin1 liu2
現階段,xian4 jie1 duan4
琀,han2
琁,xuan2
球,qiu2
球員,qiu2 yuan2
球場,qiu2 chang3
球拍,qiu2 pai1
球星,qiu2 xing1
球杆,qiu2 gan1
球賽,qiu2 sai4
球迷,qiu2 mi2
球門,qiu2 men2
球隊,qiu2 dui4
球鞋,qiu2 xie2
球體,qiu2 ti3
琅,lang2
理,li3
理事,li3 shi4
理事會,li3 shi4 hui4
理事長,li3 shi4 zhang3
理光,li3 guang1
理學,li3 xue2
理工,li3 gong1
理工大學,li3 gong1 da4 xue2
理工科,li3 gong1 ke1
理念,li3 nian4
理性,li3 xing4
理想,li3 xiang3
理想主義,li3 xiang3 zhu3 yi4
理想化,li3 xiang3 hua4
理應,li3 ying1
理所應當,li3 suo3 ying1 dang1
理所當然,li3 suo3 dang1 ran2
理智,li3 zhi4
理會,li3 hui4
理查德,li3 cha2 de2
理清,li3 qing1
理由,li3 you2
理療,li3 liao2
理直氣壯,li3 zhi2 qi4 zhuang4
理睬,li3 cai3
理科,li3 ke1
理解,li3 jie3
理論,li3 lun4
理論基礎,li3 lun4 ji1 chu3
理財,li3 cai2
理賠,li3 pei2
理順,li3 shun4
理髮,li3 fa4
琇,xiu4
琈,fu2
琉,liu2
琉璃,liu2 li5
琊,ya2
琍,li2
琖,zhan3
琚,ju1
琛,chen1
琝,min2
琠,dian3
琢,zhuo2
琢磨,zhuo2 mo2
琤,cheng1
琥,hu3
琥珀,hu3 po4
琦,qi2
琨,kun1
琪,qi2
琫,beng3
琬,wan3
琭,lu4
琮,cong2
琯,guan3
琰,yan3
琱,diao1
琲,bei4
琳,lin2
琴,qin2
琴弦,qin2 xian2
琵,pi2
琵琶,pi2 pa5
琶,pa2
琹,qin2
琺,fa4
琿,hun2
瑀,yu3
瑁,mao4
瑂,mei2
瑃,chun1
瑄,xuan1
瑇,dai4
瑉,min2
瑋,wei3
瑏,chuan1
瑑,zhuan4
瑔,quan2
瑕,xia2
瑕疵,xia2 ci1
瑗,yuan4
瑙,nao3
瑚,hu2
瑛,ying1
瑜,yu2
瑜伽,yu2 jia1
瑜珈,yu2 jia1
瑞,rui4
瑞典,rui4 dian3
瑞士,rui4 shi4
瑞安,rui4 an1
瑞麗,rui4 li4
瑟,se4
瑟瑟,se4 se4
瑟瑟發抖,se4 se4 fa1 dou3
瑠,liu2
瑢,rong2
瑣,suo3
瑣事,suo3 shi4
瑣碎,suo3 sui4
瑤,yao2
瑤池,yao2 chi2
瑧,zhen1
瑨,jin4
瑩,ying2
瑪,ma3
瑪瑙,ma3 nao3
瑪莎拉蒂,ma3 sha1 la1 di4
瑪雅,ma3 ya3
瑪麗,ma3 li4
瑭,tang2
瑯,lang2
瑰,gui1
瑱,tian4
瑲,qiang1
瑳,cuo1
瑻,kun1
瑽,cong1
瑾,jin3
瑿,yi1
璀,cui3
璀璨,cui3 can4
璁,cong1
璃,li2
璅,suo3
璆,qiu2
璇,xuan2
璈,ao2
璉,lian3
璊,men2
璋,zhang1
璐,lu4
璘,lin2
璚,jue2
璜,huang2
璝,gui1
璞,pu2
璟,jing3
璠,fan2
璡,jin4
璢,liu2
璣,ji1
璥,jing3
璦,ai4
璧,bi4
璨,can4
璩,qu2
璪,zao3
璫,dang1
璬,jiao3
璮,tan3
璯,hui4
環,huan2
環保,huan2 bao3
環保局,huan2 bao3 ju2
環境,huan2 jing4
環境保護,huan2 jing4 bao3 hu4
環境污染,huan2 jing4 wu1 ran3
環境衛生,huan2 jing4 wei4 sheng1
環島,huan2 dao3
環形,huan2 xing2
環比,huan2 bi3
環球,huan2 qiu2
環球時報,huan2 qiu2 shi2 bao4
環節,huan2 jie2
環線,huan2 xian4
環繞,huan2 rao4
環衛,huan2 wei4
環評,huan2 ping2
璱,se4
璲,sui4
璵,yu2
璸,bin1
璺,wen4
璽,xi3
璿,xuan2
瓀,ruan3
瓁,wo4
瓅,li4
瓈,li2
瓊,qiong2
瓊斯,qiong2 si1
瓊瑤,qiong2 yao2
瓌,gui1
瓏,long2
瓔,ying1
瓖,xiang1
瓘,guan4
瓚,zan4
瓛,huan2
瓜,gua1
瓜分,gua1 fen1
瓜子,gua1 zi3
瓞,die2
瓠,hu4
瓢,piao2
瓣,ban4
瓤,rang2
瓦,wa3
瓦斯,wa3 si1
瓦解,wa3 jie3
瓬,fang3
瓮,weng4
瓴,ling2
瓵,yi2
瓶,ping2
瓶子,ping2 zi5
瓶頸,ping2 jing3
瓷,ci2
瓷器,ci2 qi4
瓷磚,ci2 zhuan1
瓻,chi1
瓿,bu4
甀,zhui4
甁,ping2
甃,zhou4
甄,zhen1
甄別,zhen1 bie2
甇,ying1
甋,di4
甌,ou1
甍,meng2
甎,zhuan1
甏,beng4
甑,zeng4
甒,wu3
甓,pi4
甔,dan1
甕,weng4
甖,ying1
甗,yan3
甘,gan1
甘心,gan1 xin1
甘肅,gan1 su4
甘肅省,gan1 su4 sheng3
甘草,gan1 cao3
甘蔗,gan1 zhe5
甘願,gan1 yuan4
甙,dai4
甚,shen4
甚是,shen4 shi4
甚至,shen4 zhi4
甚至於,shen4 zhi4 yu2
甛,tian2
甜,tian2
甜味,tian2 wei4
甜品,tian2 pin3
甜美,tian2 mei3
甜蜜,tian2 mi4
甜言蜜語,tian2 yan2 mi4 yu3
甜點,tian2 dian3
甝,han2
甞,chang2
生,sheng1
生下,sheng1 xia4
生人,sheng1 ren2
生來,sheng1 lai2
生出,sheng1 chu1
生前,sheng1 qian2
生動,sheng1 dong4
生化,sheng1 hua4
生命,sheng1 ming4
生命力,sheng1 ming4 li4
生命危險,sheng1 ming4 wei1 xian3
生命科學,sheng1 ming4 ke1 xue2
生命週期,sheng1 ming4 zhou1 qi1
生子,sheng1 zi3
生存,sheng1 cun2
生孩子,sheng1 hai2 zi5
生平,sheng1 ping2
生怕,sheng1 pa4
生性,sheng1 xing4
生意,sheng1 yi4
生態,sheng1 tai4
生態圈,sheng1 tai4 quan1
生態環境,sheng1 tai4 huan2 jing4
生態系統,sheng1 tai4 xi4 tong3
生成,sheng1 cheng2
生抽,sheng1 chou1
生效,sheng1 xiao4
生日,sheng1 ri4
生日快樂,sheng1 ri4 kuai4 le4
生機,sheng1 ji1
生死,sheng1 si3
生殖,sheng1 zhi2
生殖器,sheng1 zhi2 qi4
生氣,sheng1 qi4
生活,sheng1 huo2
生活方式,sheng1 huo2 fang1 shi4
生活水平,sheng1 huo2 shui3 ping2
生活費,sheng1 huo2 fei4
生涯,sheng1 ya2
生源,sheng1 yuan2
生物,sheng1 wu4
生物學,sheng1 wu4 xue2
生物技術,sheng1 wu4 ji4 shu4
生理,sheng1 li3
生產,sheng1 chan3
生產企業,sheng1 chan3 qi3 ye4
生產力,sheng1 chan3 li4
生產成本,sheng1 chan3 cheng2 ben3
生產線,sheng1 chan3 xian4
生產總值,sheng1 chan3 zong3 zhi2
生產者,sheng1 chan3 zhe3
生產能力,sheng1 chan3 neng2 li4
生產資料,sheng1 chan3 zi1 liao4
生病,sheng1 bing4
生硬,sheng1 ying4
生肖,sheng1 xiao4
生育,sheng1 yu4
生菜,sheng1 cai4
生薑,sheng1 jiang1
生計,sheng1 ji4
生詞,sheng1 ci2
生豬,sheng1 zhu1
生鏽,sheng1 xiu4
生長,sheng1 zhang3
生鮮,sheng1 xian1
甡,shen1
產,chan3
產值,chan3 zhi2
產出,chan3 chu1
產區,chan3 qu1
產品,chan3 pin3
產品結構,chan3 pin3 jie2 gou4
產品經理,chan3 pin3 jing1 li3
產地,chan3 di4
產婦,chan3 fu4
產後,chan3 hou4
產業,chan3 ye4
產業化,chan3 ye4 hua4
產業鏈,chan3 ye4 lian4
產權,chan3 quan2
產物,chan3 wu4
產生,chan3 sheng1
產能,chan3 neng2
產量,chan3 liang4
產銷,chan3 xiao1
産,chan3
甥,sheng1
甦,su1
甦醒,su1 xing3
用,yong4
用不了,yong4 bu5 liao3
用人,yong4 ren2
用以,yong4 yi3
用作,yong4 zuo4
用來,yong4 lai2
用具,yong4 ju4
用力,yong4 li4
用功,yong4 gong1
用品,yong4 pin3
用完,yong4 wan2
用工,yong4 gong1
用得上,yong4 de5 shang4
用心,yong4 xin1
用意,yong4 yi4
用戶,yong4 hu4
用戶名,yong4 hu4 ming2
用戶界面,yong4 hu4 jie4 mian4
用料,yong4 liao4
用於,yong4 yu2
用法,yong4 fa3
用盡,yong4 jin4
用處,yong4 chu5
用詞,yong4 ci2
用語,yong4 yu3
用途,yong4 tu2
用量,yong4 liang4
用錢,yong4 qian2
用餐,yong4 can1
甩,shuai3
甩掉,shuai3 diao4
甩鍋,shuai3 guo1
甩開,shuai3 kai1
甪,lu4
甫,fu3
甬,yong3
甭,beng2
甮,feng4
甯,ning2
田,tian2
田亮,tian2 liang4
田園,tian2 yuan2
田地,tian2 di4
田徑,tian2 jing4
田野,tian2 ye3
田間,tian2 jian1
由,you2
由來,you2 lai2
由於,you2 yu2
由此,you2 ci3
由此可見,you2 ci3 ke3 jian4
由衷,you2 zhong1
甲,jia3
甲基,jia3 ji1
甲方,jia3 fang1
甲板,jia3 ban3
甲烷,jia3 wan2
甲狀腺,jia3 zhuang4 xian4
甲級,jia3 ji2
甲醇,jia3 chun2
甲醛,jia3 quan2
甲骨文,jia3 gu3 wen2
申,shen1
申報,shen1 bao4
申明,shen1 ming2
申訴,shen1 su4
申請,shen1 qing3
申請人,shen1 qing3 ren2
申請書,shen1 qing3 shu1
申請表,shen1 qing3 biao3
申論,shen1 lun4
申購,shen1 gou4
申辦,shen1 ban4
申領,shen1 ling3
甴,zha2
男,nan2
男人,nan2 ren2
男兒,nan2 er2
男友,nan2 you3
男單,nan2 dan1
男團,nan2 tuan2
男士,nan2 shi4
男女,nan2 nü3
男子,nan2 zi3
男子漢,nan2 zi3 han4
男孩,nan2 hai2
男孩子,nan2 hai2 zi5
男性,nan2 xing4
男方,nan2 fang1
男朋友,nan2 peng2 you5
男生,nan2 sheng1
男的,nan2 de5
男票,nan2 piao4
男籃,nan2 lan2
男裝,nan2 zhuang1
甸,dian4
甹,ping1
町,ting3
甽,quan3
甾,zai1
甿,meng2
畀,bi4
畁,bi4
畂,mu3
畄,liu2
畆,mu3
畇,yun2
畈,fan4
畊,geng1
畋,tian2
界,jie4
界定,jie4 ding4
界線,jie4 xian4
界限,jie4 xian4
界面,jie4 mian4
畎,quan3
畏,wei4
畏懼,wei4 ju4
畑,tian2
畒,mu3
畔,pan4
留,liu2
留下,liu2 xia4
留住,liu2 zhu4
留名,liu2 ming2
留存,liu2 cun2
留學,liu2 xue2
留學生,liu2 xue2 sheng1
留守,liu2 shou3
留心,liu2 xin1
留念,liu2 nian4
留意,liu2 yi4
留戀,liu2 lian4
留有,liu2 you3
留校,liu2 xiao4
留白,liu2 bai2
留神,liu2 shen2
留給,liu2 gei3
留言,liu2 yan2
留言本,liu2 yan2 ben3
畚,ben3
畛,zhen3
畜,chu4
畜牧,xu4 mu4
畜牧業,xu4 mu4 ye4
畜生,chu4 sheng5
畝,mu3
畟,ce4
畢,bi4
畢加索,bi4 jia1 suo3
畢業,bi4 ye4
畢業生,bi4 ye4 sheng1
畢業設計,bi4 ye4 she4 ji4
畢業證書,bi4 ye4 zheng4 shu1
畢生,bi4 sheng1
畢竟,bi4 jing4
畤,zhi4
略,lüe4
略帶,lüe4 dai4
略微,lüe4 wei1
略過,lüe4 guo4
畦,qi2
畧,lüe4
番,fan1
番禺,pan1 yu2
番茄,fan1 qie2
畫,hua4
畫作,hua4 zuo4
畫像,hua4 xiang4
畫冊,hua4 ce4
畫卷,hua4 juan4
畫圖,hua4 tu2
畫報,hua4 bao4
畫室,hua4 shi4
畫家,hua4 jia1
畫展,hua4 zhan3
畫師,hua4 shi1
畫幅,hua4 fu2
畫廊,hua4 lang2
畫法,hua4 fa3
畫畫,hua4 hua4
畫筆,hua4 bi3
畫質,hua4 zhi4
畫面,hua4 mian4
畫風,hua4 feng1
畫餅,hua4 bing3
畬,she1
畮,mu3
畯,jun4
異,yi4
異動,yi4 dong4
異化,yi4 hua4
異同,yi4 tong2
異味,yi4 wei4
異國,yi4 guo2
異地,yi4 di4
異常,yi4 chang2
異形,yi4 xing2
異性,yi4 xing4
異樣,yi4 yang4
異步,yi4 bu4
異物,yi4 wu4
異議,yi4 yi4
異鄉,yi4 xiang1
異類,yi4 lei4
畱,liu2
畲,she1
畵,hua4
當,dang1
當上,dang1 shang5
當下,dang1 xia4
當中,dang1 zhong1
當之無愧,dang1 zhi1 wu2 kui4
當事,dang1 shi4
當事人,dang1 shi4 ren2
當今,dang1 jin1
當代,dang1 dai4
當作,dang4 zuo4
當做,dang4 zuo4
當兵,dang1 bing1
當初,dang1 chu1
當前,dang1 qian2
當務之急,dang1 wu4 zhi1 ji2
當即,dang1 ji2
當回事,dang4 hui2 shi4
當地,dang1 di4
當地時間,dang1 di4 shi2 jian1
當場,dang1 chang3
當天,dang1 tian1
當家,dang1 jia1
當局,dang1 ju2
當年,dang1 nian2
當心,dang1 xin1
當成,dang4 cheng2
當日,dang1 ri4
當時,dang1 shi2
當晚,dang1 wan3
當月,dang1 yue4
當然,dang1 ran2
當當,dang4 dang4
當真,dang4 zhen1
當眾,dang1 zhong4
當紅,dang1 hong2
當選,dang1 xuan3
當面,dang1 mian4
當頭,dang1 tou2
畷,chuo4
畸,ji1
畸形,ji1 xing2
畸變,ji1 bian4
畹,wan3
畺,jiang1
畽,tuan3
畾,lei2
畿,ji1
疃,tuan3
疆,jiang1
疆域,jiang1 yu4
疇,chou2
疉,die2
疊,die2
疊加,die2 jia1
疋,shu1
疍,dan4
疎,shu1
疏,shu1
疏導,shu1 dao3
疏忽,shu1 hu5
疏散,shu1 san3
疏通,shu1 tong1
疏遠,shu1 yuan3
疐,zhi4
疑,yi2
疑似,yi2 si4
疑問,yi2 wen4
疑惑,yi2 huo4
疑慮,yi2 lü4
疑難,yi2 nan2
疑點,yi2 dian3
疒,ne4
疔,ding1
疕,bi3
疘,gang1
疙,ge1
疙瘩,ge1 da5
疚,jiu4
疝,shan4
疢,chen4
疣,you2
疤,ba1
疤痕,ba1 hen2
疥,jie4
疧,qi2
疫,yi4
疫情,yi4 qing2
疫病,yi4 bing4
疫苗,yi4 miao2
疲,pi2
疲倦,pi2 juan4
疲勞,pi2 lao2
疲憊,pi2 bei4
疲軟,pi2 ruan3
疳,gan1
疵,ci1
疶,xie4
疸,dan3
疹,zhen3
疼,teng2
疼愛,teng2 ai4
疼痛,teng2 tong4
疽,ju1
疾,ji2
疾病,ji2 bing4
疿,fei4
痁,dian4
痂,jia1
痄,zha4
病,bing4
病人,bing4 ren2
病例,bing4 li4
病假,bing4 jia4
病原體,bing4 yuan2 ti3
病友,bing4 you3
病史,bing4 shi3
病因,bing4 yin1
病害,bing4 hai4
病情,bing4 qing2
病態,bing4 tai4
病房,bing4 fang2
病歷,bing4 li4
病死,bing4 si3
病毒,bing4 du2
病灶,bing4 zao4
病理,bing4 li3
病症,bing4 zheng4
病痛,bing4 tong4
病菌,bing4 jun1
病蟲害,bing4 chong2 hai4
病變,bing4 bian4
病逝,bing4 shi4
症,zheng4
症狀,zheng4 zhuang4
痊,quan2
痊癒,quan2 yu4
痌,tong1
痍,yi2
痎,jie1
痏,wei3
痐,hui2
痒,yang3
痓,chi4
痔,zhi4
痔瘡,zhi4 chuang1
痕,hen2
痕跡,hen2 ji4
痗,mei4
痘,dou4
痘痘,dou4 dou4
痙,jing4
痙攣,jing4 luan2
痚,xiao1
痛,tong4
痛哭,tong4 ku1
痛心,tong4 xin1
痛快,tong4 kuai4
痛恨,tong4 hen4
痛楚,tong4 chu3
痛經,tong4 jing1
痛苦,tong4 ku3
痛風,tong4 feng1
痛點,tong4 dian3
痜,tu1
痞,pi3
痞子,pi3 zi5
痠,suan1
痡,pu1
痢,li4
痣,zhi4
痤,cuo2
痤瘡,cuo2 chuang1
痦,wu4
痧,sha1
痭,peng2
痯,guan3
痰,tan2
痱,fei4
痲,ma2
痳,lin2
痴,chi1
痴呆,chi1 dai1
痴心,chi1 xin1
痴迷,chi1 mi2
痵,ji4
痺,bi4
痻,min2
痼,gu4
痾,ke1
痿,wei3
瘀,yu1
瘁,cui4
瘂,ya3
瘃,zhu2
瘈,ji4
瘉,yu4
瘊,hou2
瘋,feng1
瘋子,feng1 zi5
瘋狂,feng1 kuang2
瘌,la4
瘍,yang2
瘏,tu2
瘐,yu3
瘓,huan4
瘕,jia3
瘖,yin1
瘙,sao4
瘙癢,sao4 yang3
瘚,jue2
瘛,chi4
瘜,xi1
瘝,guan1
瘞,yi4
瘟,wen1
瘟疫,wen1 yi4
瘠,ji2
瘡,chuang1
瘢,ban1
瘤,liu2
瘥,chai4
瘦,shou4
瘦弱,shou4 ruo4
瘦肉,shou4 rou4
瘦身,shou4 shen1
瘧,nüe4
瘨,dian1
瘩,da5
瘭,biao1
瘮,shen4
瘯,cu4
瘰,luo3
瘲,zong4
瘳,chou1
瘴,zhang4
瘵,zhai4
瘸,que2
瘺,lou4
瘻,lou4
瘼,mo4
癀,huang2
療,liao2
療傷,liao2 shang1
療效,liao2 xiao4
療法,liao2 fa3
療程,liao2 cheng2
療養,liao2 yang3
癃,long2
癄,qiao2
癅,liu2
癆,lao2
癇,xian2
癈,fei4
癉,dan4
癌,ai2
癌症,ai2 zheng4
癌細胞,ai2 xi4 bao1
癍,ban1
癎,xian2
癐,guai4
癒,yu4
癒合,yu4 he2
癔,yi4
癕,yong1
癖,pi3
癘,li4
癙,shu3
癜,dian4
癟,bie3
癠,ji4
癡,chi1
癢,yang3
癢癢,yang3 yang5
癤,jie1
癥,zheng1
癥結,zheng1 jie2
癧,li4
癩,lai4
癪,ji1
癬,xuan3
癭,ying3
癮,yin3
癯,qu2
癰,yong1
癱,tan1
癱瘓,tan1 huan4
癲,dian1
癲癇,dian1 xian2
癶,bo1
癸,gui3
登,deng1
登上,deng1 shang4
登入,deng1 ru4
登基,deng1 ji1
登場,deng1 chang3
登山,deng1 shan1
登山杖,deng1 shan1 zhang4
登月,deng1 yue4
登機,deng1 ji1
登記,deng1 ji4
登記表,deng1 ji4 biao3
登錄,deng1 lu4
登陸,deng1 lu4
登頂,deng1 ding3
發,fa1
發亮,fa1 liang4
發佈,fa1 bu4
發佈會,fa1 bu4 hui4
發作,fa1 zuo4
發信,fa1 xin4
發光,fa1 guang1
發出,fa1 chu1
發力,fa1 li4
發動,fa1 dong4
發動機,fa1 dong4 ji1
發卡,fa1 ka3
發呆,fa1 dai1
發售,fa1 shou4
發問,fa1 wen4
發威,fa1 wei1
發射,fa1 she4
發展,fa1 zhan3
發展中,fa1 zhan3 zhong1
發展商,fa1 zhan3 shang1
發布,fa1 bu4
發帖,fa1 tie3
發愁,fa1 chou2
發抖,fa1 dou3
發掘,fa1 jue2
發揚,fa1 yang2
發揚光大,fa1 yang2 guang1 da4
發揮,fa1 hui1
發改委,fa1 gai3 wei3
發放,fa1 fang4
發散,fa1 san4
發文,fa1 wen2
發明,fa1 ming2
發源地,fa1 yuan2 di4
發火,fa1 huo3
發炎,fa1 yan2
發熱,fa1 re4
發燒,fa1 shao1
發燒友,fa1 shao1 you3
發牢騷,fa1 lao2 sao1
發現,fa1 xian4
發球,fa1 qiu2
發生,fa1 sheng1
發生率,fa1 sheng1 lü4
發病,fa1 bing4
發病率,fa1 bing4 lü4
發瘋,fa1 feng1
發短信,fa1 duan3 xin4
發票,fa1 piao4
發紅,fa1 hong2
發給,fa1 gei3
發聲,fa1 sheng1
發育,fa1 yu4
發胖,fa1 pang4
發脾氣,fa1 pi2 qi4
發自,fa1 zi4
發芽,fa1 ya2
發行,fa1 xing2
發行人,fa1 xing2 ren2
發行商,fa1 xing2 shang1
發表,fa1 biao3
發覺,fa1 jue2
發言,fa1 yan2
發言人,fa1 yan2 ren2
發言權,fa1 yan2 quan2
發誓,fa1 shi4
發財,fa1 cai2
發貨,fa1 huo4
發貼,fa1 tie1
發起,fa1 qi3
發起人,fa1 qi3 ren2
發車,fa1 che1
發送,fa1 song4
發達,fa1 da2
發達國家,fa1 da2 guo2 jia1
發達地區,fa1 da2 di4 qu1
發酵,fa1 jiao4
發電,fa1 dian4
發電廠,fa1 dian4 chang3
發電機,fa1 dian4 ji1
發霉,fa1 mei2
發音,fa1 yin1
發飆,fa1 biao1
白,bai2
白人,bai2 ren2
白內障,bai2 nei4 zhang4
白天,bai2 tian1
白嫖,bai2 piao2
白宮,bai2 gong1
白居易,bai2 ju1 yi4
白帶,bai2 dai4
白板,bai2 ban3
白水,bai2 shui3
白沙,bai2 sha1
白玉,bai2 yu4
白痴,bai2 chi1
白白,bai2 bai2
白皙,bai2 xi1
白皮書,bai2 pi2 shu1
白眼,bai2 yan3
白糖,bai2 tang2
白細胞,bai2 xi4 bao1
白羊,bai2 yang2
白羊座,bai2 yang2 zuo4
白色,bai2 se4
白菜,bai2 cai4
