text,jyutping
燃燒,jin4 siu1
燄,jim4
燅,cam4
燆,hiu1
燇,zeon3
燈,dang1
燈光,dang1 gwong1
燈塔,dang1 taap3
燈泡,dang1 paau1
燈火,dang1 fo2
燈箱,dang1 soeng1
燈籠,dang1 lung4
燈飾,dang1 sik1
燉,dan6
燊,san1
燋,ciu4
燌,fan4
燍,si1
燎,liu4
燏,jyut6
燐,leon4
燑,tung4
燒,siu1
燒傷,siu1 soeng1
燒毀,siu1 wai2
燒烤,siu1 haau1
燒腦,siu1 nou5
燒錢,siu1 cin2
燒餅,siu1 beng2
燒香,siu1 hoeng1
燓,fan4
燔,faan4
燕,jin1
燕子,jin3 zi2
燕窩,jin3 wo1
燕麥,jin3 mak6
燖,cam4
燗,laan6
燘,fui2
燙,tong3
燙傷,tong3 soeng1
燚,jik6
燛,gwing2
燜,man1
燝,ging2
燞,ziu3
營,jing4
營地,jing4 dei6
營救,jing4 gau3
營業,jing4 jip6
營造,jing4 zou6
營運,jing4 wan6
營銷,jing4 siu1
營養,jing4 joeng5
營養不良,jing4 joeng5 bat1 loeng4
營養師,jing4 joeng5 si1
營養素,jing4 joeng5 sou3
燠,jau1
燡,jik6
燢,hok6
燣,laam4
燤,lit6
燥,cou3
燦,caan3
燦爛,caan3 laan6
燧,seoi6
燨,hei1
燩,kok3
燪,zung2
燫,lim4
燬,wai2
燭,zuk1
燭光,zuk1 gwong1
燮,sip3
燯,ling4
燰,wui1
燱,jik1
燲,hip3
燳,ziu3
燴,wui6
燵,daat6
燶,lung1
燷,laam4
燸,jyu4
燹,sin2
燺,huk6
燻,fan1
燻蒸,fan1 zing1
燼,zeon2
燽,cau4
燾,dou6
燿,jiu6
爀,haak1
爁,laam6
爂,biu1
爃,wing4
爄,lai6
爅,mak6
爆,baau3
爆料,baau3 liu2
爆棚,baau3 paang4
爆滿,baau3 mun5
爆炸,baau3 zaa3
爆發,baau3 faat3
爆發力,baau3 faat3 lik6
爆破,baau3 po3
爆笑,baau3 siu3
爆表,baau3 biu1
爆頭,baau3 tau4
爇,joek6
爈,leoi4
爉,laap6
爊,ngaau4
爋,fan1
爌,kong3
爍,lik1
爎,liu4
爏,lik6
爐,lou4
爐子,lou4 zi2
爐石,lou4 sek6
爑,zoek3
爒,liu5
爓,cam4
爔,hei1
爕,sit3
爖,lung4
爗,jip6
爘,caan1
爙,joeng5
爚,joek6
爛,laan6
爛尾,laan6 mei5
爛片,laan6 pin2
爜,cung4
爝,ziu3
爞,cung4
爟,gun3
爠,keoi4
爡,cit3
爢,mei4
爣,tong2
爤,laan6
爥,zuk1
爦,laam5
爧,ling4
爨,cyun3
爩,wat1
爪,zaau2
爫,zaau2
爬,paa4
爬山,paa4 saan1
爬蟲,paa4 cung4
爬行,paa4 hang4
爭,caang1
爭取,zang1 ceoi2
爭吵,zang1 caau2
爭執,zang1 zap1
爭奪,zang1 dyut6
爭氣,zaang1 hei3
爭相,zang1 soeng1
爭端,zang1 dyun1
爭論,zang1 leon6
爭議,zang1 ji5
爭辯,zang1 bin6
爭霸,zang1 baa3
爭鬥,zang1 dau3
爮,paau4
爯,cing1
爰,jyun4
爲,wai4
爳,wai4
爴,fok3
爵,zoek3
爵位,zoek3 wai6
爵士,zoek3 si6
爵士樂,zoek3 si6 ngok6
父,fu2
父子,fu6 zi2
父母,fu6 mou5
父親,fu6 can1
父親節,fu6 can1 zit3
爸,baa1
爸爸,baa4 baa1
爹,de1
爺,je4
爺爺,je4 je2
爻,ngaau4
爼,zo2
爽,song2
爽快,song2 faai3
爽朗,song2 long5
爾,ji5
爿,baan6
牀,cong4
牀位,cong4 wai2
牀單,cong4 daan1
牀墊,cong4 din3
牀頭,cong4 tau4
牁,go1
牂,zong1
牃,dip6
牄,coeng1
牅,jung4
牆,coeng4
牆壁,coeng4 bik1
牆紙,coeng4 zi2
牆角,coeng4 gok3
片,pin2
片刻,pin3 hak1
片場,pin2 coeng4
片斷,pin3 dyun6
片段,pin3 dyun6
片酬,pin2 cau4
片面,pin3 min6
片頭,pin2 tau4
版,baan2
版主,baan2 zyu2
版圖,baan2 tou4
版式,baan2 sik1
版本,baan2 bun2
版權,baan2 kyun4
版面,baan2 min2
牉,pun3
牊,ciu4
牋,zin1
牌,paai4
牌坊,paai4 fong1
牌子,paai4 zi2
牌照,paai4 ziu3
牎,coeng1
牏,jyu4
牐,zaap6
牑,bin1
牒,dip6
牓,bong2
牔,bok3
牕,coeng1
牖,jau5
牗,jau5
牘,duk6
牙,ngaa4
牙刷,ngaa4 caat2
牙縫,ngaa4 fung4
牙膏,ngaa4 gou1
牙醫,ngaa4 ji1
牙齒,ngaa4 ci2
牙齦,ngaa4 ngan4
牚,caang1
牛,ngau4
牛仔,ngau4 zai2
牛仔褲,ngau4 zai2 fu3
牛奶,ngau4 naai5
牛市,ngau4 si5
牛油果,ngau4 jau4 gwo2
牛皮,ngau4 pei4
牛肉,ngau4 juk6
牛郎,ngau4 long4
牛頓,ngau4 deon1
牝,fan5
牞,gau1
牟,mau4
牠,taa1
牠們,taa1 mun4
牡,maau5
牡丹,maau5 daan1
牢,lou4
牢固,lou4 gu3
牢記,lou4 gei3
牢騷,lou4 sou1
牣,jan6
牤,mong1
牥,fong1
牧,muk6
牧場,muk6 coeng4
牧師,muk6 si1
牧民,muk6 man4
牧羊,muk6 joeng4
牧馬人,muk6 maa5 jan4
牨,gong1
物,mat6
物件,mat6 gin2
物價,mat6 gaa3
物品,mat6 ban2
物料,mat6 liu2
物業,mat6 jip6
物流,mat6 lau4
物理,mat6 lei5
物理學,mat6 lei5 hok6
物種,mat6 zung2
物美價廉,mat6 mei5 gaa3 lim4
物聯網,mat6 lyun4 mong5
物色,mat6 sik1
物語,mat6 jyu5
物資,mat6 zi1
物質,mat6 zat1
物體,mat6 tai2
牪,jin6
牫,go1
牬,bui3
牭,sei3
牮,zin3
牯,gu2
牰,cau1
牱,o1
牲,saang1
牲畜,sang1 cuk1
牳,mau5
牴,dai2
牶,hyun3
牷,cyun4
牸,zi6
特,dak6
特例,dak6 lai6
特價,dak6 gaa3
特典,dak6 din2
特別,dak6 bit6
特務,dak6 mou6
特區,dak6 keoi1
特地,dak6 dei6
特定,dak6 ding6
特寫,dak6 se2
特工,dak6 gung1
特徵,dak6 zing1
特快,dak6 faai3
特性,dak6 sing3
特惠,dak6 wai6
特意,dak6 ji3
特技,dak6 gei6
特效,dak6 haau6
特有,dak6 jau5
特權,dak6 kyun4
特此,dak6 ci2
特殊,dak6 syu4
特產,dak6 caan2
特異性,dak6 ji6 sing3
特種,dak6 zung2
特約,dak6 joek3
特色,dak6 sik1
特製,dak6 zai3
特許,dak6 heoi2
特警,dak6 ging2
特質,dak6 zat1
特長,dak6 coeng4
特點,dak6 dim2
牻,mong4
牼,hang1
牽,hin1
牽制,hin1 zai3
牽動,hin1 dung6
牽引,hin1 jan5
牽強,hin1 koeng5
牽扯,hin1 ce2
牽掛,hin1 gwaa3
牽涉,hin1 sip3
牽連,hin1 lin4
牾,ng5
牿,guk1
犀,sai1
犀利,sai1 lei6
犀牛,sai1 ngau4
犁,lai4
犂,lai4
犃,bau6
犄,gei1
犅,gong1
犆,dat6
犇,ban1
犈,gyun3
犉,jyun4
犋,geoi6
犌,gaa1
犍,gin1
犎,fung1
犏,pin1
犐,fo1
犑,gwik1
犒,hou3
犓,co1
犔,hei3
犕,bei6
犖,lok3
犗,gaai3
犘,maa4
犙,saam1
犚,wai3
犛,lei4
犜,deon1
犝,tung4
犞,kiu4
犟,goeng6
犠,ji6
犡,laai6
犢,duk6
犣,lip6
犤,bei1
犥,piu1
犦,bok6
犧,hei1
犧牲,hei1 sang1
犧牲品,hei1 sang1 ban2
犨,cau1
犩,ngai4
犪,kwai4
犫,cau1
犬,hyun2
犮,bat6
犯,faan6
犯人,faan6 jan4
犯法,faan6 faat3
犯罪,faan6 zeoi6
犯規,faan6 kwai1
犯賤,faan6 zin6
犯錯,faan6 co3
犰,kau4
犱,gik1
犲,caai4
犳,zoek3
犴,hon4
犵,go1
犺,kong3
犻,but6
犼,hau3
犽,ngaa6
犾,ngan4
犿,faan1
狀,zong6
狀元,zong6 jyun4
狀態,zong6 taai3
狀況,zong6 fong3
狁,wan5
狂,kong4
狂人,kwong4 jan4
狂妄,kwong4 mong5
狂歡,kwong4 fun1
狂潮,kwong4 ciu4
狂熱,kwong4 jit6
狂野,kwong4 je5
狂風,kwong4 fung1
狃,nau2
狄,dik6
狅,kwong4
狆,zung1
狇,muk6
狉,pei1
狊,gwik1
狋,ji4
狌,saang1
狍,paau4
狎,haap6
狏,to4
狐,wu4
狐狸,wu4 lei2
狐狸精,wu4 lei4 zing1
狑,ling4
狒,fai3
狓,pei1
狔,nei5
狕,maa1
狖,jau6
狗,gau2
狘,hyut3
狙,zeoi1
狙擊,zeoi1 gik1
狙擊手,zeoi1 gik1 sau2
狚,daam3
狛,baak3
狜,gu2
狟,hyun1
狠,han2
狠心,han2 sam1
狠毒,han2 duk6
狠狠,han2 han2
狡,gaau2
狡猾,gaau2 waat6
狡辯,gaau2 bin6
狢,hok6
狣,siu6
狤,gat1
狥,seon1
狦,saan1
狧,daat3
狨,jung4
狩,sau2
狩獵,sau3 lip6
狪,dung6
狫,lou5
狳,jyu4
狴,bai1
狵,mong4
狶,hei1
狷,gyun1
狸,lei4
狹,gip6
狹小,haap3 siu2
狹窄,haap3 zaak3
狹義,haap3 ji6
狹隘,haap3 aai3
狺,ngan4
狻,syun1
狼,long4
狼人,long4 jan4
狼狽,long4 bui3
狽,bui3
狾,zai3
狿,jin4
猀,saa1
猁,lei6
猂,hon5
猄,geng1
猅,paai4
猆,fei1
猇,haau1
猈,baa6
猉,kei4
猊,ngai4
猋,biu1
猌,ngan6
猍,loi4
猏,gin1
猐,goeng1
猑,kwan1
猒,aat3
猓,gwo2
猔,zung3
猖,coeng1
猖狂,coeng1 kwong4
猖獗,coeng1 kyut3
猗,ji1
猘,gai3
猙,zaang1
猙獰,zang1 ning4
猚,ngaai4
猛,maang5
猛烈,maang5 lit6
猛然,maang5 jin4
猜,caai1
猜想,caai1 soeng2
猜測,caai1 caak1
猜疑,caai1 ji4
猝,cyut3
猝死,cyut3 sei2
猞,se3
猟,lip6
猠,din2
猢,wu4
猣,zung1
猤,gwai3
猥,wai2
猥瑣,wui1 so2
猦,fung1
猧,wo1
猨,jyun4
猩,sing1
猩猩,sing1 sing1
猭,sin1
猯,teon1
猰,aat3
猱,naau4
猲,hit3
猳,gaa1
猴,hau4
猴子,hau4 zi2
猵,bin1
猶,jau4
猶太,jau4 taai3
猶太人,jau4 taai3 jan4
猶如,jau4 jyu4
猶豫,jau4 jyu4
猷,jau4
猸,mei4
猹,zaa1
猺,jiu4
猻,syun1
猼,bok3
猽,ming4
猾,waat6
猿,jyun4
獀,sau1
獁,maa5
獂,jyun4
獃,daai1
獄,juk6
獅,si1
獅子,si1 zi2
獅子座,si1 zi2 zo6
獆,hou4
獇,goeng1
獈,jik6
獉,zeon1
獊,cong1
獋,hou4
獌,maan6
獍,geng3
獎,zoeng2
獎勵,zoeng2 lai6
獎品,zoeng2 ban2
獎學金,zoeng2 hok6 gam1
獎杯,zoeng2 bui1
獎牌,zoeng2 paai4
獎盃,zoeng2 bui1
獎金,zoeng2 gam1
獎項,zoeng2 hong6
獏,mok6
獐,zoeng1
獑,caam4
獒,ngou4
獓,ngou4
獔,hou4
獕,ceoi1
獖,ban6
獗,kyut3
獘,bai6
獙,bai6
獚,wong4
獛,buk1
獜,leon4
獝,leot6
獞,tung4
獟,hiu1
獠,liu4
獡,coek3
獢,hiu1
獣,sau3
獤,deon1
獥,gik1
獦,got3
獧,gyun3
獨,duk6
獨一無二,duk6 jat1 mou4 ji6
獨到,duk6 dou3
獨創,duk6 cong3
獨奏,duk6 zau3
獨家,duk6 gaa1
獨有,duk6 jau5
獨樹一幟,duk6 syu6 jat1 ci3
獨特,duk6 dak6
獨當一面,duk6 dong1 jat1 min6
獨白,duk6 baak6
獨立,duk6 laap6
獨自,duk6 zi6
獨處,duk6 cyu3
獨行俠,duk6 hang4 hap6
獨裁,duk6 coi4
獨資,duk6 zi1
獩,wai3
獪,kui2
獫,him2
獬,haai5
獮,sin2
獯,fan1
獰,ning4
獱,ban1
獲,waai4
獲准,wok6 zeon2
獲利,wok6 lei6
獲勝,wok6 sing3
獲取,wok6 ceoi2
獲得,wok6 dak1
獲得者,wok6 dak1 ze2
獲悉,wok6 sik1
獲獎,wok6 zoeng2
獲贈,wok6 zang6
獳,nau6
獴,mung4
獵,lip6
獵人,lip6 jan4
獵奇,lip6 kei4
獵殺,lip6 saat3
獵物,lip6 mat6
獶,naau4
獷,gwong2
獸,sau3
獸醫,sau3 ji1
獹,lou4
獺,caat3
獻,hin3
獻上,hin3 soeng5
獻出,hin3 ceot1
獻身,hin3 san1
獼,mei4
獽,joeng4
獾,fun1
獿,naau4
玀,lo4
玁,him2
玂,kei4
玃,fok3
玄,jyun4
玄學,jyun4 hok6
玄機,jyun4 gei1
玅,miu6
玆,jyun4
率,leot2
率先,seot1 sin1
率領,seot1 ling5
玈,lou4
玉,juk6
玉器,juk6 hei3
玉女,juk6 neoi5
玉石,juk6 sek6
玉米,juk6 mai5
玊,suk1
王,wong4
王八,wong4 baat3
王后,wong4 hau6
王國,wong4 gwok3
王妃,wong4 fei1
王子,wong4 zi2
王室,wong4 sat1
王小波,wong4 siu2 bo1
王朝,wong4 ciu4
王牌,wong4 paai2
王者,wong4 ze2
王道,wong4 dou6
玌,kau4
玍,gaa2
玎,ding1
玏,lak6
玐,baat3
玒,gong1
玓,dik1
玔,cyun3
玕,gon1
玖,gau2
玗,jyu1
玘,hei2
玜,gung1
玝,ng5
玞,fu1
玟,man4
玠,gaai3
玡,je4
玢,ban1
玣,bin6
玤,bung2
玥,jyut6
玦,kyut3
玧,mun4
玨,gok3
玩,waan2
玩具,wun6 geoi6
玩命,waan2 meng6
玩完,waan2 jyun4
玩家,waan2 gaa1
玩弄,wun6 lung6
玩意,waan4 ji3
玩法,waan2 faat3
玩笑,waan4 siu3
玩耍,waan4 saa2
玪,gaam1
玫,mui4
玫瑰,mui4 gwai3
玬,taan2
玭,pan4
玲,ling4
玲瓏,ling4 lung4
玳,doi6
玴,jai6
玵,ngam4
玶,ping4
玷,dim2
玷污,dim1 wu1
玸,fu4
玹,jin4
玻,bo1
玻璃,bo1 lei1
玻璃鋼,bo1 lei1 gong3
玼,cai2
玽,gau2
玾,gaap3
玿,siu4
珀,paak3
珁,ci4
珂,o1
珃,jim5
珄,sang1
珅,san1
珆,ji4
珇,zeoi2
珈,gaa1
珉,man4
珊,saan1
珊瑚,saan1 wu4
珊瑚蟲,saan1 wu4 cung4
珋,lau5
珌,bat1
珍,zan1
珍品,zan1 ban2
珍寶,zan1 bou2
珍惜,zan1 sik1
珍愛,zan1 oi3
珍珠,zan1 zyu1
珍藏,zan1 cong4
珍貴,zan1 gwai3
珎,zan1
珏,gok3
珒,zeon1
珓,gaau3
珔,zin6
珕,lai6
珖,gwong1
珗,sin1
珘,zau1
珙,gung2
珚,jin1
珛,cau3
珜,joeng4
珝,heoi2
珞,lok3
珟,suk1
珠,zyu1
珠三角,zyu1 saam1 gok3
珠寶,zyu1 bou2
珠江,zyu1 gong1
珠海,zyu1 hoi2
珡,kam4
珢,ngan4
珣,seon1
珤,bou2
珥,ji5
珦,hoeng3
珧,jiu4
珨,haap6
珩,hang4
珪,gwai1
珫,cung1
珬,seot1
班,baan1
班主任,baan1 zyu2 jam6
班子,baan1 zi2
班底,baan1 dai2
班次,baan1 ci3
班級,baan1 kap1
班長,baan1 zoeng2
珮,pui3
珯,lou5
珱,jing1
珳,man4
珴,ngo4
珵,cing4
珶,dai6
珷,mou5
珸,ng4
珹,sing4
珺,gwan6
珻,mui4
珼,bui3
珽,ting2
現,jin6
現今,jin6 gam1
現代,jin6 doi6
現代化,jin6 doi6 faa3
現任,jin6 jam6
現價,jin6 gaa3
現在,jin6 zoi6
現場,jin6 coeng4
現存,jin6 cyun4
現實,jin6 sat6
現役,jin6 jik6
現成,jin6 sing4
現時,jin6 si4
現有,jin6 jau5
現狀,jin6 zong6
現行,jin6 hang4
現象,jin6 zoeng6
現貨,jin6 fo3
現身,jin6 san1
現金,jin6 gam1
現金流,jin6 gam1 lau4
現階段,jin6 gaai1 dyun6
珿,cuk1
琀,ham3
琁,syun4
琂,jin4
球,kau4
球員,kau4 jyun4
球場,kau4 coeng4
球拍,kau4 paak2
球星,kau4 sing1
球杆,kau4 gon1
球衣,kau4 ji1
球賽,kau4 coi3
球迷,kau4 mai4
球門,kau4 mun4
球隊,kau4 deoi2
球體,kau4 tai2
琄,jyun5
琅,long4
理,lei5
理事,lei5 si6
理工,lei5 gung1
理工大學,lei5 gung1 daai6 hok6
理念,lei5 nim6
理性,lei5 sing3
理想,lei5 soeng2
理應,lei5 jing1
理所當然,lei5 so2 dong1 jin4
理智,lei5 zi3
理會,lei5 wui6
理由,lei5 jau4
理直氣壯,lei5 zik6 hei3 zong3
理睬,lei5 coi2
理科,lei5 fo1
理解,lei5 gaai2
理論,lei5 leon6
理論上,lei5 leon6 soeng6
理財,lei5 coi4
理賠,lei5 pui4
理髮,lei5 faat3
琇,sau3
琈,fau4
琉,lau4
琊,je4
琋,hei1
琌,ling4
琍,lei4
琑,ciu3
琒,fung1
琓,jyun4
琔,din6
琕,pan4
琖,zaan2
琗,ceoi3
琘,man4
琙,wik6
琚,geoi1
琛,cam1
琜,loi4
琝,man4
琞,sing3
琟,wai4
琠,tin2
琡,cuk1
琢,doek3
琢磨,doek3 mo4
琣,bung2
琤,caang1
琥,fu2
琥珀,fu2 paak3
琦,kei4
琧,ok3
琨,gwan1
琩,coeng1
琪,kei4
琫,bung2
琬,jyun2
琭,luk6
琮,cung4
琯,gun2
琰,jim5
琱,diu1
琲,bei3
琳,lam4
琴,kam4
琴行,kam4 hong2
琵,pei4
琵琶,pei4 paa4
琶,paa4
琷,kyut3
琸,zoek3
琹,kam4
琺,faat3
琻,cyun4
琽,dou2
琾,gaai3
琿,fai1
瑀,jyu5
瑁,mou6
瑂,mei4
瑃,ceon1
瑄,syun1
瑅,tai4
瑆,sing1
瑇,doi6
瑈,jau4
瑉,man4
瑊,zam1
瑋,wai5
瑌,jyun5
瑍,wun6
瑎,haai4
瑏,cyun1
瑐,zin2
瑑,cyun5
瑒,coeng3
瑓,lin6
瑔,cyun4
瑕,haa4
瑕疵,haa4 ci1
瑖,dyun3
瑗,jyun6
瑘,je4
瑙,nou5
瑚,wu4
瑛,jing1
瑜,jyu4
瑜伽,jyu4 gaa1
瑝,waang4
瑞,seoi6
瑞典,seoi6 din2
瑞士,seoi6 si6
瑟,sat1
瑟瑟發抖,sat1 sat1 faat3 dau2
瑠,lau4
瑡,si1
瑢,jung4
瑣,so2
瑣事,so2 si6
瑣碎,so2 seoi3
瑤,jiu4
瑥,wan1
瑦,wu2
瑧,zeon1
瑨,zeon3
瑩,jing4
瑪,maa5
瑪瑙,maa5 nou5
瑪雅,maa5 ngaa5
瑫,tou1
瑬,lau4
瑭,tong4
瑮,leot6
瑯,long4
瑰,gwai1
瑱,din3
瑲,coeng1
瑳,co1
瑴,gok3
瑵,zaau2
瑹,syu1
瑺,soeng4
瑻,kwan1
瑼,zyun1
瑽,cung1
瑾,gan2
瑿,ji1
璀,ceoi1
璀璨,ceoi1 caan3
璁,cung1
璂,kei4
璃,lei1
璄,ging2
璅,so2
璆,kau4
璇,syun4
璈,ngou4
璉,lin4
璊,mun4
璋,zoeng1
璌,jan4
璍,jip6
璏,wai6
璐,lou6
璑,mou4
璒,dang1
璓,sau3
璔,zang1
璕,cam4
璖,keoi4
璗,dong6
璘,leon4
璙,liu4
璚,king4
璛,suk1
璜,wong4
璝,gwai1
璞,pok3
璟,ging2
璠,faan4
璡,zeon1
璢,lau4
璣,gei1
璤,wai6
璥,ging2
璦,oi3
璧,bik1
璨,caan3
璩,keoi4
璪,zou2
璫,dong1
璬,giu2
璭,gun2
璮,taan2
璯,faai3
環,waan4
環保,waan4 bou2
環境,waan4 ging2
環境問題,waan4 ging2 man6 tai4
環境污染,waan4 ging2 wu1 jim5
環境衛生,waan4 ging2 wai6 sang1
環球,waan4 kau4
環節,waan4 zit3
環繞,waan4 jiu2
環衛,waan4 wai6
璱,sat1
璲,seoi6
璳,tin4
璴,co2
璵,jyu4
璶,zeon6
璷,fu1
璸,ban1
璹,sau6
璺,man4
璻,zeoi2
璼,laam4
璽,saai2
璾,cai5
璿,syun4
瓀,jyun5
瓁,wok6
瓂,goi3
瓃,leoi4
瓄,duk6
瓅,lik1
瓆,zat1
瓇,jau4
瓈,lei4
瓉,zaan3
瓊,king4
瓋,tik1
瓌,gwai1
瓍,ceoi4
瓎,laat6
瓏,lung4
瓐,lou4
瓑,lik6
瓓,laan6
瓔,jing1
瓕,mei4
瓖,soeng1
瓗,king4
瓘,gun3
瓙,dou6
瓚,zaan3
瓛,wun4
瓜,gwaa1
瓜分,gwaa1 fan1
瓜子,gwaa1 zi2
瓝,bok6
瓞,dit6
瓟,bok6
瓠,wok6
瓡,zap1
瓢,piu4
瓣,baan6
瓤,nong4
瓥,lai6
瓦,ngaa5
瓦解,ngaa5 gaai2
瓧,sap6 ngaa5
瓨,gong1
瓩,cin1 ngaa5
瓪,baan2
瓫,pun4
瓬,fong2
瓭,dam2
瓮,ung3
瓰,fan1 ngaa5
瓱,hou4 ngaa5
瓲,tyun4
瓳,wu4
瓴,ling4
瓵,ji4
瓶,peng4
瓶子,ping4 zi2
瓷,ci4
瓷器,ci4 hei3
瓷磚,ci4 zyun1
瓸,baak3 ngaa5
瓹,gyun1
瓺,coeng4
瓻,ci1
瓼,lei5
瓽,dong2
瓾,maang5
瓿,bau6
甀,zeoi6
甁,ping4
甂,bin1
甃,zau3
甄,jan1
甄別,jan1 bit6
甅,lei4 ngaa5
甆,ci4
甇,aang1
甈,hei3
甉,haam4
甊,lau5
甋,dik1
甌,au1
甍,mang4
甎,zyun1
甏,bong3
甐,leon6
甑,zang3
甒,mou5
甓,bik1
甔,daam1
甕,ung3
甖,aang1
甗,jin5
甘,gam1
甘心,gam1 sam1
甘肅,gam1 suk1
甘草,gam1 cou2
甘蔗,gam1 ze3
甘願,gam1 jyun6
甙,doi6
甚,sam6
甚至,sam6 zi3
甛,tim4
甜,tim4
甜品,tim4 ban2
甜美,tim4 mei5
甜蜜,tim4 mat6
甜言蜜語,tim4 jin4 mat6 jyu5
甜點,tim4 dim2
甝,hon4
甞,soeng4
生,saang1
生人,saang1 jan4
生前,sang1 cin4
生動,sang1 dung6
生命,sang1 ming6
生命力,sang1 ming6 lik6
生命體,sang1 ming6 tai2
生存,sang1 cyun4
生平,sang1 ping4
生怕,sang1 paa3
生性,saang1 sing3
生意,saang1 ji3
生態,sang1 taai3
生態環境,sang1 taai3 waan4 ging2
生抽,saang1 cau1
生效,sang1 haau6
生日,saang1 jat6
生機,sang1 gei1
生殖,sang1 zik6
生殖器,sang1 zik6 hei3
生氣,sang1 hei3
生活,sang1 wut6
生活習慣,sang1 wut6 zaap6 gwaan3
生活費,sang1 wut6 fai3
生涯,sang1 ngaai4
生物,sang1 mat6
生物學,sang1 mat6 hok6
生理,sang1 lei5
生產,sang1 caan2
生產力,sang1 caan2 lik6
生產線,sang1 caan2 sin3
生產資料,sang1 caan2 zi1 liu2
生病,saang1 beng6
生硬,saang1 ngaang6
生肖,sang1 ciu3
生育,saang1 juk6
生菜,saang1 coi3
生薑,saang1 goeng1
生計,sang1 gai3
生詞,saang1 ci4
生鏽,saang1 sau3
生長,sang1 zoeng2
甠,cing4
甡,san1
產,caan2
產品,caan2 ban2
產地,caan2 dei6
產婦,caan2 fu5
產後,caan2 hau6
產業,caan2 jip6
產業集羣,caan2 jip6 zaap6 kwan4
產權,caan2 kyun4
產物,caan2 mat6
產生,caan2 sang1
產能,caan2 nang4
產量,caan2 loeng6
産,caan2
甤,jeoi4
甥,saang1
甦,sou1
甦醒,sou1 sing2
甧,sam1
用,jung6
用不着,jung6 bat1 zoek6
用作,jung6 zok3
用具,jung6 geoi6
用力,jung6 lik6
用功,jung6 gung1
用品,jung6 ban2
用地,jung6 dei6
用得着,jung6 dak1 zoek6
用心,jung6 sam1
用意,jung6 ji3
用戶,jung6 wu6
用戶羣,jung6 wu6 kwan4
用料,jung6 liu2
用法,jung6 faat3
用藥,jung6 joek6
用處,jung6 cyu3
用詞,jung6 ci4
用語,jung6 jyu5
用途,jung6 tou4
用量,jung6 loeng6
用餐,jung6 caan1
甩,lat1
甪,luk6
甫,fu2
甬,jung2
甭,bang2
甮,fung6
甯,ning4
田,tin4
田園,tin4 jyun4
田地,tin4 dei6
田徑,tin4 ging3
田野,tin4 je5
由,jau4
由來,jau4 loi4
由於,jau4 jyu1
由此可見,jau4 ci2 ho2 gin3
由衷,jau4 cung1
甲,gaap3
甲方,gaap3 fong1
甲板,gaap3 baan2
甲烷,gaap3 jyun2
甲狀腺,gaap3 zong6 sin3
甲醛,gaap3 cyun4
甲骨文,gaap3 gwat1 man4
申,san1
申報,san1 bou3
申訴,san1 sou3
申請,san1 cing2
申請人,san1 cing2 jan4
申請表,san1 cing2 biu2
申辦,san1 baan6
申領,san1 ling5
甴,zaat2
甶,fat6
男,naam4
男主,naam4 zyu2
男人,naam4 jan2
男兒,naam4 ji4
男友,naam4 jau5
男單,naam4 daan1
男團,naam4 tyun4
男士,naam4 si6
男女,naam4 neoi5
男子,naam4 zi2
男子漢,naam4 zi2 hon3
男孩,naam4 haai4
男性,naam4 sing3
男朋友,naam4 pang4 jau5
男生,naam4 sang1
男裝,naam4 zong1
甸,din1
甹,ping1
町,ding1
甼,ting5
甽,hyun2
甾,zi1
甿,man4
畀,bei2
畁,bei2
畂,mau5
畃,seon4
畄,lau4
畆,mau5
畇,wan4
畈,faan3
畉,fu4
畊,gaang1
畋,tin4
界,gaai3
界定,gaai3 ding6
界線,gaai3 sin3
界限,gaai3 haan6
界面,gaai3 min2
畍,gaai3
畎,gyun2
畏,wai3
畏懼,wai3 geoi6
畐,fuk1
畑,tin4
畒,mau5
畓,cyun4
畔,bun6
畕,goeng1
畖,waa1
畗,daap3
畘,naam4
留,lau4
留下,lau4 haa6
留住,lau4 zyu6
留名,lau4 ming4
留學,lau4 hok6
留學生,lau4 hok6 saang1
留守,lau4 sau2
留心,lau4 sam1
留念,lau4 nim6
留意,lau4 ji3
留戀,lau4 lyun2
留白,lau4 baak6
留神,lau4 san4
留言,lau4 jin4
留言本,lau4 jin4 bun2
畚,bun2
畛,can2
畜,cuk1
畜牧,cuk1 muk6
畜生,cuk1 sang1
畝,mau5
畞,mau5
畟,cak1
畠,tin4
畡,goi1
畢,bat1
畢業,bat1 jip6
畢業生,bat1 jip6 sang1
畢生,bat1 sang1
畢竟,bat1 ging2
畣,daap3
畤,si5
略,loek6
略過,loek6 gwo3
畦,kwai4
畧,loek6
畨,faan1
畩,ji1
番,bo1
番禺,pun1 jyu4
番茄,faan1 ke2
畫,waa2
畫作,waa2 zok3
畫像,waa2 zoeng6
畫家,waa2 gaa1
畫師,waa2 si1
畫廊,waa2 long4
畫畫,waak6 waa2
畫筆,waa2 bat1
畫質,waa2 zat1
畫面,waa2 min2
畫風,waa2 fung1
畬,jyu4
畭,jyu4
畮,mau5
畯,zeon3
異,ji6
異同,ji6 tung4
異味,ji6 mei6
異國,ji6 gwok3
異地,ji6 dei6
異常,ji6 soeng4
異形,ji6 jing4
異性,ji6 sing3
異樣,ji6 joeng2
異物,ji6 mat6
異議,ji6 ji5
異鄉,ji6 hoeng1
異類,ji6 leoi6
畱,lau4
畲,se4
畳,dip6
畵,waak6
當,dong1
當中,dong1 zung1
